temperature	field	S1Rx-Ch1	S1Rx-Ch2	S1Ry-Ch1	S1Ry-Ch2	S2Ry-Ch1	S2Ry-Ch2	S2Rx-Ch1	S2Rx-Ch2	Time	Sweep var
+1.07045880E+00	+9.17371329E-01	0.00173999	0.523441	-0.000124254	179.337	-1.0714e-005	-179.767	0.00242521	0.0234376	167.391	0
+1.07045829E+00	+9.17373132E-01	0.00173975	0.515629	-0.000124292	-179.735	-1.06972e-005	-179.665	0.00242521	0.0234376	167.719	0
+1.07045863E+00	+9.13162095E-01	0.00173999	0.515629	-0.00012181	-179.798	-1.06656e-005	-179.618	0.00242521	0.0234376	168.031	0
+1.07046182E+00	+9.12484327E-01	0.00173999	0.515629	-0.000121542	-179.681	-1.06339e-005	-179.642	0.00242521	0.0234376	168.328	0
+1.07046113E+00	+9.12487302E-01	0.00173999	0.523441	-0.00012377	-178.923	-1.06153e-005	-179.634	0.00242521	0.0234376	168.641	0
+1.07045352E+00	+9.08116476E-01	0.00173975	0.515629	-0.000121698	-179.298	-1.05966e-005	-179.587	0.00242521	0.0234376	168.969	0
+1.07045920E+00	+9.07571473E-01	0.00173999	0.515629	-0.000121609	-179.782	-1.05929e-005	-179.563	0.00242521	0.0234376	169.281	0
+1.07045738E+00	+9.05128618E-01	0.00173999	0.515629	-0.000120216	179.095	-1.06078e-005	-179.563	0.00242521	0.0234376	169.578	0
+1.07046375E+00	+9.02689998E-01	0.00173975	0.523441	-0.000122056	-179.884	-1.06097e-005	-179.618	0.00242521	0.0234376	169.906	0
+1.07046491E+00	+9.02692065E-01	0.00173975	0.515629	-0.000121847	-179.501	-1.05873e-005	-179.767	0.00242521	0.0234376	170.203	0
+1.07046389E+00	+8.99470256E-01	0.00173975	0.515629	-0.000121281	-179.04	-1.05873e-005	-179.962	0.00242521	0.0234376	170.516	0
+1.07046167E+00	+8.97785875E-01	0.00174022	0.523441	-0.000122854	179.845	-1.0578e-005	179.907	0.00242521	0.0234376	170.844	0
+1.07046071E+00	+8.97677976E-01	0.00173999	0.523441	-0.000123181	-179.907	-1.05482e-005	179.868	0.00242521	0.0234376	171.141	0
+1.07046468E+00	+8.92906656E-01	0.00173999	0.515629	-0.000121326	-179.634	-1.05147e-005	179.923	0.00242521	0.0234376	171.469	0
+1.07046241E+00	+8.92906927E-01	0.00173975	0.515629	-0.000120394	-179.267	-1.04942e-005	-179.978	0.00242521	0.0234376	171.766	0
+1.07046593E+00	+8.92304426E-01	0.00173975	0.515629	-0.000122123	-179.048	-1.05017e-005	-179.907	0.00242521	0.0234376	172.078	0
+1.07046356E+00	+8.87991793E-01	0.00173975	0.523441	-0.000123062	179.907	-1.05166e-005	-179.899	0.00242521	0.0234376	172.406	0
+1.07046130E+00	+8.87990533E-01	0.00173999	0.515629	-0.000120692	-179.946	-1.0511e-005	-179.915	0.00242521	0.0234376	172.719	0
+1.07045954E+00	+8.87991922E-01	0.00173975	0.515629	-0.000121415	-179.563	-1.04942e-005	-179.931	0.00242521	0.0234376	173.016	0
+1.07046585E+00	+8.83119545E-01	0.00173975	0.523441	-0.000121117	179.985	-1.04663e-005	-179.962	0.00242521	0.0234376	173.344	0
+1.07046290E+00	+8.83118675E-01	0.00173975	0.515629	-0.000123435	-179.548	-1.04476e-005	-179.915	0.00242521	0.0234376	173.656	0
+1.07046369E+00	+8.82493176E-01	0.00173975	0.515629	-0.000119463	-179.603	-1.04197e-005	-179.876	0.00242521	0.0234376	173.953	0
+1.07045960E+00	+8.78212292E-01	0.00173999	0.523441	-0.000120149	179.985	-1.03955e-005	-179.931	0.00242521	0.0234376	174.281	0
+1.07045960E+00	+8.78213989E-01	0.00173975	0.531254	-0.000125119	-179.767	-1.03769e-005	-179.97	0.00242521	0.0234376	174.594	0
+1.07045971E+00	+8.74350704E-01	0.00173975	0.523441	-0.000123695	-178.876	-1.03713e-005	-179.907	0.00242521	0.0234376	174.906	0
+1.07046017E+00	+8.73323529E-01	0.00173975	0.523441	-0.000120134	179.853	-1.03731e-005	-179.774	0.00242521	0.0234376	175.203	0
+1.07046176E+00	+8.73322338E-01	0.00173999	0.515629	-0.000121035	179.212	-1.03862e-005	-179.548	0.00242521	0.0234376	175.531	0
+1.07045892E+00	+8.68888319E-01	0.00173999	0.515629	-0.000122317	178.149	-1.03899e-005	-179.376	0.00242521	0.0234376	175.828	0
+1.07045369E+00	+8.68398988E-01	0.00173975	0.515629	-0.000122973	-179.712	-1.03675e-005	-179.353	0.00242521	0.0234376	176.156	0
+1.07045806E+00	+8.68399389E-01	0.00173975	0.515629	-0.000121437	-179.462	-1.03545e-005	-179.407	0.00242521	0.0234376	176.453	0
